DNR Peat Inventory ID #,Profile Description Info,Peat Moisture Info,IRRB Report Name,Profile Described By,Desc_who,Desc_when,DNR Lab Data Available,Prox-Ulti Data Available
CARL-2004919-E+600-100,,,,P. Geiselman and D. Riihiluoma in November 1987,P. Geiselman and D. Riihiluoma,November 1987,N,N
CARL-2004919-E+600-200,Non-horticultural quality; 200-330cm no samples taken,,,"S. Nelson and H. Jamsa on November 5, 1987",S. Nelson and H. Jamsa,"November 5, 1987",N,N
CARL-2004919-E+600-300,,,,P. Geiselman and D. Riihiluoma in November 1987,P. Geiselman and D. Riihiluoma,November 1987,N,N
CARL-2004919-E+600-400,,,,P. Geiselman and D. Riihiluoma in November 1987,P. Geiselman and D. Riihiluoma,November 1987,N,N
CARL-2004919-E+600-500,,,,P. Geiselman and D. Riihiluoma in November 1987,P. Geiselman and D. Riihiluoma,November 1987,N,N
CARL-2004919-E+600-600,Non-horticultural quality; very good energy peat,,,"S. Nelson and P. Geiselman on November 6, 1987",S. Nelson and P. Geiselman,"November 6, 1987",Y,N
CARL-2004919-E+600-700,,,,P. Geiselman and D. Riihiluoma in November 1987,P. Geiselman and D. Riihiluoma,November 1987,N,N
CARL-2004919-E+700+-0,,,,P. Geiselman and D. Riihiluoma in November 1987,P. Geiselman and D. Riihiluoma,November 1987,N,N
CARL-2004919-E+800+-0,Profile not checked for limnic; 2 meters to lake from this site,,,P. Geiselman and D. Riihiluoma in November 1987,P. Geiselman and D. Riihiluoma,November 1987,N,N
CARL-2004919-E+800-100,Approximately 50 m to lake from this site; probally limnic sediments in profile,,,"P. Geiselman and D. Riihiluoma on November 4, 1987",P. Geiselman and D. Riihiluoma,"November 4, 1987",N,N
CARL-2004919-E+800-200,Non-horticultural quality; 200-250cm no samples taken,,,"S. Nelson and H. Jamsa on November 5, 1987",S. Nelson and H. Jamsa,"November 5, 1987",N,N
CARL-2004919-E+800-324,,,,"P. Geiselman and D. Riihiluoma on November 4, 1987",P. Geiselman and D. Riihiluoma,"November 4, 1987",N,N
CARL-2004919-E+800-410,Elevation site only,,,D. Olson and E. Berglund in December 1987,D. Olson and E. Berglund,December 1987,N,N
CARL-2004919-E+800-454,,,,"P. Geiselman and D. Riihiluoma on November 4, 1987",P. Geiselman and D. Riihiluoma,"November 4, 1987",N,N
CARL-2004919-E+800-588,Non-horticultural quality; very good energy peat,,,"S. Nelson and P. Geiselman on November 6, 1987",S. Nelson and P. Geiselman,"November 6, 1987",N,N
CARL-2004919-E+800-715,Upland is approximately 75m south of this site,,,"P. Geiselman and D. Riihiluoma on November 4, 1987",P. Geiselman and D. Riihiluoma,"November 4, 1987",N,N
CARL-2004919-E+900-110,Profile not checked for limnic,,,"P. Geiselman and D. Riihiluoma on November 4, 1987",P. Geiselman and D. Riihiluoma,"November 4, 1987",N,N
CARL-2004919-E+900-210,,,,"P. Geiselman and D. Riihiluoma on November 4, 1987",P. Geiselman and D. Riihiluoma,"November 4, 1987",N,N
CARL-2004919-E+900-310,,,,"P. Geiselman and D. Riihiluoma on November 4, 1987",P. Geiselman and D. Riihiluoma,"November 4, 1987",N,N
