DNR Peat Inventory ID #,Peatland Name,Additional Site Info,Landform Pattern,Peatland Classification,Site Vegetation,Surface Microrelief,Depth to Water Table,Measured Elevation
AITK-2205219-20,Wawina,,,Open bog,Sparse tamarack and black spruce.  Understory dominated by cotton grass; many ericaceous shrubs (leatherleaf*).  Continuous sphagnum carpet.,30cm,At surface,
AITK-2205219-21,Wawina,,,"Transition - distrubed, near ditch",Stunted tamarack with 70% cover; sparse black spruce and paper birch. Understory dominated by grasses; some ericaceous shrubs (leatherleaf*) few other shrubs (bog birch).  Continuous sphagnum carpet.,20cm,At surface,
AITK-2205219-22,Wawina,,,Open bog,"Sparse black spruce, tamarck, and white pine. Understory includes many cotton grass and ericaceous shrubs (leatherleaf*). Continuous sphagnum carpet.",30cm,At surface,
AITK-2205222-7,Wawina,,Raised bog,Bog,Scattered tamarack; sparse black spruce.  Understory includes many cotton grass; some ericaceous shrubs (leatherleaf*).  Continuous sphagnum carpet.,30cm,At surface,
AITK-2205222-8,Wawina,,,Transition,Scattered tamarack.  Understory dominated by cotton grass; some ericaceous shrubs; few shrubs (speckled alder).  Continuous sphagnum carpet.,30cm,Above surface,
AITK-2205223-202,Wawina,,Edge of crested raised bog,Forested bog,Stunted black spruce with 60% cover; sparse tamarack.  Understory includes many sedges; some ericaceous shrubs (Labrador tea). Continuous sphagnum carpet.,30cm,At surface,
AITK-2205223-203,Wawina,,Crested raised bog,Forested bog,Stunted tamarack with 45% cover.  Understory includes many ericaceous shrubs; few sedges.  Continuous sphagnum carpet.,45cm,At surface,
AITK-2205223-210,Wawina,,Crested raised bog,Open bog,"Sparse black spruce.  Understory includes few ericaceous shrubs, sedges, and cotton grass.  Continuous sphagnum carpet.",25cm,At surface,
AITK-2205223-211,Wawina,,Crested raised bog,Open bog,Sparse black spruce and tamarack.  Understory dominated by sedges; few ericaceous shrubs and cotton grass.  Continuous sphagnum carpet.,15cm,15cm above surface,
AITK-2205223-212,Wawina,,Crested raised bog,Open bog,Sparse black spruce.  Understory includes many sedges; few ericaceous shrubs.  Continuous sphagnum carpet.,25cm,8cm above surface,
AITK-2205223-213,Wawina,,Crested raised bog,Open bog,Sparse black spruce and tamarack.  Understory includes some ericaceous shrubs (leatherleaf*) and sedges; few cotton grass. Continuous sphagnum carpet.,15cm,8cm above surface,
AITK-2205223-518,Wawina,,Crested raised bog,Forested bog,Stunted black spruce with 35% cover; sparse tamarack.  Understory includes few ericaceous shrubs and bog forbs.  Discontinuous sphagnum carpet.,30cm,10cm,
AITK-2205227-9,Wawina,,,Transition bog,Scattered black spruce and tamarack.  Understory dominated by ericaceous shrubs (leatherleaf*); some cotton grass; few shrubs (bog birch).  Continuous sphagnum carpet.,30cm,At surface,
AITK-2205228-10,Wawina,,,Bog,Scattered black spruce; sparse tamarack.  Understory includes many ericaceous shrubs (leatherleaf*) and cotton grass.  Continuous sphagnum carpet.,30cm,At surface,
AITK-2205228-28,Wawina,,,Open bog,Sparse tamarack and black spruce.  Understory dominated by ericaceous shrubs (leatherleaf*); few cotton grass.  Continuous sphagnum carpet.,,At surface,
AITK-2205228-29,Wawina,,,,Cover dominated by grasses; few ericaceous shrubs.  Continuous sphagnum carpet.,20cm,At surface,
AITK-2205229-30,Wawina,,,,Sparse black spruce and tamarack.  Understory includes many ericaceous shrubs (leatherleaf*) and grasses.  Continuous sphagnum carpet.,20cm,,
AITK-2205230-23,Wawina,,,Open bog,Sparse black spruce and tamarack.  Understory includes many ericaceous shrubs (leatherleaf*) and cotton grass.  Continuous sphagnum carpet.,20cm,At surface,
AITK-2205230-24,Wawina,,,Open bog,Sparse tamarack.  Understory dominated by cotton grass.  Continuous sphagnum carpet.,30cm,At surface,
AITK-2205230-25,Wawina,,,Bog,Sparse black spruce and tamarack.  Understory dominated by cotton grass; few ericaceous shrubs.  Continuous sphagnum carpet.,30cm,At surface,
AITK-2205230-26,Wawina,,,Disturbed - near ditch,"Sparse tamarack.  Understory includes many grasses; some shrubs (bog birch), ericaceous shrubs (leatherleaf), and forbs (cattail).  Some sphagnum mosses.",,At surface,
AITK-2205231-164,Wawina,,,,Sparse black spruce and tamarack.  Understory dominated by cotton grass; some ericaceous shrubs (leatherleaf); few other shrubs (bog birch) and forbs.  Continuous sphagnum carpet; some polytrichum mosses,40cm,At surface,
AITK-2205231-27,Wawina,,,,Sparse black spruce and tamarack.  Understory dominated by grasses; many ericaceous shrubs (leatherleaf*).  Continuous sphagnum carpet.,40cm,At surface,
AITK-2205232-161,Wawina,,,,Cover dominated by sedges; some ericaceous shrubs (leatherleaf*). Continuous sphagnum carpet; some polytrichum mosses.,30cm,At surface,
AITK-2205233-12,Wawina,,,,Sparse black spruce and tamarack.  Understory dominated by cotton grass; some ericaceous shrubs (leatherleaf); few other shrubs (bog birch).,30cm,At surface,
AITK-2205233-162,Wawina,,,Disturbed - near ditch,"Cover dominated by grasses; many forbs (false Solomon's seal); few shrubs (speckled alder, bog birch).  Continuous sphagnum carpet.",10cm,Just below surface,
AITK-2205234-11,Wawina,,,Transition,Scattered tamarack; sparse black spruce.  Understory includes many ericaceous shrubs (leatherleaf*); some other shrubs (bog birch) and cotton grass.  Discontinuous sphagnum carpet.,20cm,At surface,
AITK-2205234-13,Wawina,,,Disturbed - near ditch,Sparse tamarack.  Understory dominated by grasses; some ericaceous shrubs (leatherleaf) and other shrubs (bog birch).  Discontinuous sphagnum carpet.,10cm,At surface,
AITK-2205234-18,Wawina,,,,Scattered tamarack; sparse black spruce.  Understory includes many cotton grass and ericaceous shrubs (leatherleaf); some other shrubs (speckled alder); few sedges.  Discontinuous sphagnum carpet.,20cm,At surface,
AITK-2205235-14,Wawina,,,Transition,Scattered tamarack; sparse black spruce.  Understory includes many cotton grass and ericaceous shrubs (leatherleaf); few other shrubs (bog birch).  Continuous sphagnum carpet.,30cm,At surface,
AITK-2304311-507,,,,Shrub swamp,"Cover dominated by shrubs (speckled alder, willow) and forbs (cattail, horsetail); some grasses.",Negligible,At surface,
AITK-2304404-113,,,,"Forested swamp-disturbed,near powerline",Cut over area under powerline is dominated by cattails with some shrubs (speckled alder).  White cedar forest surrounds site.,20cm,Just below surface,
AITK-2304409-494,,,,Shrub swamp,"Cover dominated by shrubs (bog birch*, willow, speckled alder) and ericaceous shrubs (leatherleaf).",15cm,10cm,
AITK-2304413-492,,,,Forested bog - Transition,"Black spruce forest with 80% cover.  Understory includes many forbs (false Solomon's seal*, iris) and cotton grass; some ericaceous shrubs (Labrador tea).  Continuous sphagnum carpet.",30cm,15cm,
AITK-2304419-107,,,,Marsh,Cover dominated by grasses; many forbs (cattails).,Negligible,10cm above surface,
AITK-2304420-106,,,,Shrub swamp,Cover dominated by shrubs (willow); some grasses.,20cm,15cm above surface,
AITK-2304430-502,,,,Shrub meadow,"Cover dominated by grasses; many shrubs (bog birch*, willow); few forbs.",20cm,10cm,
AITK-2304431-504,,,,Meadow,Cover dominated by grasses; some shrubs (willow); few forbs.,,,
AITK-2304435-493,,,,Open bog - Transition,"Sparse paper birch, Tamarack and black spruce.  Understory dominated by ericaceous shrubs (Labrador tea, leatherleaf, swamp laurel); few other shrubs (speckled alder) and cotton grass.  Continuous sphagnum carpet; some polytrichum mosses.",60cm,20cm,
AITK-2304504-460,,,,,"Cover dominated by shrubs (bog birch*, willow, speckled alder) and grasses; some ericaceous shrubs (leatherleaf) and cotton grass; few forbs.  Continuous sphagnum carpet.",60cm,10cm above surface,
AITK-2304504-461,,,,,"Sparse tamarack. Understory dominated by grasses; some shrubs (speckled alder*, willow); few forbs.  Discontinuous sphagnum carpet.",40cm,5cm above surface,
AITK-2304505-1,,,,Meadow,"Sparse black spruce.  Understory dominated by grasses; few shrubs (bog birch, willow), ericaceous shrubs, sedges, and forbs.",Negligible,At surface,
AITK-2304505-12,,,,Sphagnum-rich poor fen,Sparse tamarack and black spruce.  Understory includes many sedges; some shrubs (bog birch); few forbs.  Continuous sphagnum carpet.,30cm,At surface,
AITK-2304505-14,,,,Open bog,Sparse black spruce and tamarack.  Understory dominated by ericaceous shrubs (leatherleaf*).  Continuous sphagnum carpet.,40cm,20cm,
AITK-2304505-15,,,,Transition,Stunted tamarack with 35% cover; scattered black spruce.  Understory dominated by ericaceous shrubs (leatherleaf*).  Continuous sphagnum carpet.,60cm,At surface,
AITK-2304505-2,,,,Disturbed - near ditch,"Sparse black spruce. Understory includes some shrubs (raspberry, bog birch, willow); few ericaceous shrubs, sedges, and forbs. Discontinuous sphagnum carpet.",,Surface,
AITK-2304505-458,,,,Sphagnum-rich shrub swamp,"Sparse tamarack.  Understory dominated by shrubs (bog birch,willow) and grasses; few cotton grass and forbs.  Discontinuous sphagnum carpet.",25cm,At surface,
AITK-2304505-601,McGregor South,,,,,,,
AITK-2304505-602,McGregor South,,,,,,,
AITK-2304505-83,,,,Disturbed meadow - planted trees,Scattered black spruce; sparse tamarack.  Understory dominated by grasses; few shrubs (bog birch).,10cm,At surface,
AITK-2304506-455,,,,Shrub swamp - Shrub meadow,"Cover dominated by grasses; many shrubs (speckled alder, willow).",30cm,At surface,
AITK-2304507-454,,,,Shrub swamp,"Sparse black ash.  Cover dominated by grasses and shrubs (speckled alder*, willow); few ericaceous shrubs.",10cm,10cm,
AITK-2304507-457,,,,Shrub meadow,Cover dominated by grasses; some shrubs (willow); few forbs.,10cm,At surface,
AITK-2304508-84,,,,Meadow,"Sparse tamarack and black spruce.  Understory dominated by grasses; few shrubs (bog birch, dogwood).",15cm,,
AITK-2304510-462,,,,Shrub meadow,"Sparse tamarack.  Understory dominated by grasses; many shrubs (bog birch*, willow); some ericaceous shrubs (leatherleaf); few forbs. Discontinuous sphagnum carpet.",40cm,Above surface,
AITK-2304511-463,,,,Poor shrub fen,"Sparse black spruce.  Understory dominated by shrubs (bog birch*, willow); many ericaceous shrubs (leatherleaf*); some cotton grass. Continuous sphagnum carpet.",30cm,At surface,
AITK-2304513-476,,,,,Cover dominated by grasses; many shrubs; few forbs.  Discontinuous sphagnum carpet.,10cm,10cm,
AITK-2304513-477,,,,Open bog,Sparse black spruce and tamarack.  Understory includes many ericaceous shrubs (swamp laurel*); few cotton grass.  Continuous sphagnum carpet; many polytrichum mosses.,30cm,,
AITK-2304514-467,,,,Poor shrub fen,"Sparse black spruce and tamarack.  Understory includes many shrub (bog birch*, speckled alder); some ericaceous shrubs (swamp laurel*) and cotton grass; few wooded bog forbs.  Continuous sphagnum carpet.",15cm,At surface,
AITK-2304514-478,,,,Open bog,Cover includes many ericaceous shrubs (leatherleaf*) and cotton grass. Continuous sphagnum carpet; some polytrichum mosses.,50cm,,
AITK-2304515-464,,,,Shrub fen,Sparse tamarack and black spruce.  Understory dominated by shrubs (bog birch); many cotton grass; few forbs.  Continuous sphagnum carpet; some polytrichum mosses.,50cm,At surface,
AITK-2304515-465,,,,,"Sparse tamarack and black spruce. Understory dominated by grasses; many ericaceous shrubs (leatherleaf*); some sedges; few cotton grass, shrubs (bog birch), and forbs. Continuous sphagnum carpet.",20cm,Above surface,
AITK-2304515-466,,,,Disturbed - near ditch,"Sparse tamarack. Understory dominated by grasses; many shrubs (bog birch*, willow, speckled alder); some cotton grass.",10cm,At surface,
AITK-2304516-85,,,,,"Sparse tamarack. Understory dominated by grasses; some shrubs (bog birch*, willow) and forbs (cattail); few ericaceous shrubs. Few mosses.",Negligible,Above surface,
AITK-2304519-115,,,,Forested bog,Stunted black spruce and tamarack; most large trees are dead. Understory dominatd by ericaceous shrubs (Labrador tea*). Continuous sphagnum carpet.,30cm,At surface,
AITK-2304521-456,,,,Meadow,Cover dominated by grasses; few shrubs (willow).,Negligible,At surface,
AITK-2304523-474,,,,Poor shrub fen,Sparse tamarack. Understory includes many shrubs (bog birch); some forbs (false Solomon's seal*); few ericaceous shrubs. Continuous sphagnum carpet.,30cm,At surface,
AITK-2304525-472,,,,,"Cover dominated by grasses; some shrubs (willow*, speckled alder) and forbs (cattail). Some mosses.",10cm,At surface,
AITK-2304525-473,,,,Meadow,Cover dominated by grasses; few shrubs (willow). Few sphagnum mosses.,Negligible,10cm,
AITK-2304529-114,,,,Meadow,"Sparse paper birch. Understory dominated by grasses; some forbs; few shrubs (speckled alder, willow).",10cm,At surface,
AITK-2304614-441,,,,Shrub swamp,"Sparse tamarack. Understory dominated by grasses and shrubs (speckled alder*, bog birch, willow); few forbs.",15cm,Above surface,
AITK-2304624-442,,,,Bog,Scattered tamarack; sparse black spruce. Understory includes some ericaceous shrubs (leatherleaf*) and cotton grass; few forbs. Continuous sphagnum carpet.,70cm,At surface,
AITK-2304625-123,,,,,"Sparse tamarack. Understory includes many shrubs (bog birch*, speckled alder) and ericaceous shrubs (leatherleaf); some grasses.",Negligible,15cm above surface,
AITK-2304628-81,,,,Shrub swamp,Cover dominated by shrubs and grasses; few forbs. Few mosses.,30cm,Above surface,
AITK-2304632-519,,,,Open bog,Sparse tamarack and black spruce. Understory dominated by ericaceous shrubs (leatherleaf*). Discontinuous sphagnum carpet.,40cm,15cm above surface,
AITK-2304632-597,McGregor South,,,Forested bog,Black spruce forest with 35% cover; sparse tamarack.  Understory with some ericaceous shrubs (Labrador tea*).  Continuous sphagnum carpet.,30cm,,
AITK-2304632-598,McGregor South,,,Poor fen,,30cm,Below surface,
AITK-2304632-599,McGregor South,,,Open fen,Sparse stunted tamarack and black spruce.  Understory dominated by sedges; some shrubs (bog birch).  Discontinuous sphagnum carpet.,,,
AITK-2304632-600,McGregor South,,,Open fen,Sparse stunted tamarack.  Understory dominated by sedges. Discontinuous sphagnum carpet.,20cm,,
AITK-2304633-459,,,,Shrub swamp,"Sparse tamarack. Understory dominated by shrubs (speckled alder, bog birch); some cotton grass; few ericaceous shrubs and forbs. Continuous sphagnum carpet; some polytrichum mosses.",50cm,At surface,
AITK-2304633-586,McGregor South,,,Transition,"Stunted tamarack with 25% cover; sparse black spruce.  Understory with some ericaceous shrubs; few forbs (horsetail), grasses, and shrubs (bog birch).  Continuous sphagnum carpet.",30cm,,
AITK-2304633-587,McGregor South,,,Bog,Stunted black spruce with 20% cover.  Understory with some ericaceous shrubs (leatherleaf) and cotton grass.  Continuous sphagnum carpet.,,,
AITK-2304633-588,McGregor South,,,Sphagnum-rich open fen,Sparse tamarack.  Understory with many sedges; some shrubs (bog birch) and forbs (cattails); few ericaceous shrubs.  Discontinuous sphagnum carpet.,30cm,,
AITK-2304633-82,,,,Open bog - Transition,"Sparse black spruce and tamarack. Understory dominated by ericaceous shrubs (leatherleaf*), few shrubs. Continuous sphagnum carpet.",40cm,Just below surface,
AITK-2304636-443,,,,Bog,Scattered tamarack; sparse black spruce. Understory includes some ericaceous shrubs (leatherleaf*); few cotton grass. Continuous sphagnum carpet.,50cm,At surface,
AITK-2304705-69,,,,Meadow - Open fen,Cover dominated by grasses.,,30cm above surface,
AITK-2304707-70,,,,Meadow,Cover dominated by grasses.,Negligible,At surface,
AITK-2304707-75,,,,Meadow,"Cover dominated by grasses; some shrubs (bog birch*, willow); few forbs (cattails).",10cm,10cm above surface,
AITK-2304714-427,,,,Forested bog,Stunted black spruce with 35% cover. Understory includes many ericaceous shrubs; some cotton grass; few forbs. Continuous sphagnum carpet.,70cm,At surface,
AITK-2304722-426,,,,Open bog,"Sparse black spruce and tamarack. Understory dominated by ericaceous shrubs (leatherleaf*, swamp laurel*); some cotton grass. Continuous sphagnum carpet.",35cm,15cm,
AITK-2304725-429,,,,Poor shrub fen,"Cover dominated by shrubs (bog birch*, willow, speckled alder); some ericaceous shrubs (bog rosemary*); few forbs (horsetail). Continuous sphagnum carpet.",45cm,20cm,
AITK-2304726-428,,,,,"Cover dominated by shrubs (bog birch*, speckled alder, willow); many grasses; some ericaceous shrubs (leatherleaf) and forbs (iris*). Discontinuous sphagnum carpet.",20cm,10cm,
AITK-2304736-430,,,,,"Sparse tamarack and aspen. Understory includes many cotton grass; some grasses; few shrubs (dogwood, speckled alder) and ericaceous shrubs. Continuous sphagnum carpet.",,,
AITK-2304803-383,,,,Meadow,Sparse aspen. Understory dominated by grasses; few shrubs (willow) and forbs.,15cm,At surface,
AITK-2304807-67,,,,,Sparse black spruce and tamarack. Understory includes many cotton grass; some ericaceous shrubs (leatherleaf); few forbs (cattails). Continuous sphagnum carpet; some other mosses.,20cm,At surface,
AITK-2304810-369,,,,Meadow on floating mat,Cover dominated by grasses; few cotton grass and shrubs (bog birch).,Negligible,10cm above surface,
AITK-2304811-370,,,,Meadow,Cover dominated by grasses; few shrubs (willow).,10cm,5cm,
AITK-2304811-381,,,,Meadow,"Cover dominated by grasses; few shrubs (willow), ericaceous shrubs, and forbs.",10cm,,
